sub_category_id,sub_category_name,belongs_to_categories
315,Service Kits,"Air and Fuel Delivery;Body;Brake;Driveline and Axles;Electrical, Lighting and Body;Emission Control;Engine;Exhaust;HVAC;Hardware and Service Supplies;Ignition;Multifunction Terms;Oil, Fluids and Chemicals;Steering;Suspension;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
316,"Steering, Gear and Related Components","Driveline and Axles;Steering;Suspension;Vehicles, Equipment, Tools, and Supplies"
317,Bearings,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Emission Control;Engine;HVAC;Hardware and Service Supplies;Ignition;Multifunction Terms;Plumbing;Steering;Suspension;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies"
318,"Motors, Core, Case and Related Components",Engine;HVAC
319,Temperature Controls and Related Components,HVAC
320,A/C Flow Restrictors,HVAC
322,Distributor and Magneto,Ignition
323,Ignition Coil,"Ignition;Vehicles, Equipment, Tools, and Supplies"
324,Alignment,Suspension
328,Assortments,"Brake;Electrical, Lighting and Body;Hardware and Service Supplies;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
330,"Lawn and Garden Equipment, Tools and Accessories","Household, Shop and Office Products;Vehicles, Equipment, Tools, and Supplies"
337,Cooling System Service,"HVAC;Vehicles, Equipment, Tools, and Supplies"
339,RV and Marine Accessories,Accessories;Body;Plumbing
340,Displays and Merchandisers,Hardware and Service Supplies
343,Horns,Body
344,Ignition Service,"Vehicles, Equipment, Tools, and Supplies"
345,Power Steering Service,"Vehicles, Equipment, Tools, and Supplies"
346,Welding Equipment,"Vehicles, Equipment, Tools, and Supplies"
347,Winch,"Vehicles, Equipment, Tools, and Supplies"
356,Body Actuators and Motors,"Body;Brake;Electrical, Lighting and Body;HVAC;Steering"
357,Dashboard,"Body;Electrical, Lighting and Body;Entertainment and Telematics;Transmission"
359,Telematics Systems and Components,"Body;Electrical, Lighting and Body;Entertainment and Telematics;Vehicles, Equipment, Tools, and Supplies"
376,Thermostat and Housing,Air and Fuel Delivery;Belts and Cooling;HVAC
391,Front Body,Body
392,CV Boots and Related Components,Driveline and Axles
393,Hubs and Related Components,"Driveline and Axles;Vehicles, Equipment, Tools, and Supplies"
436,Waste Disposal Equipment,"Vehicles, Equipment, Tools, and Supplies"
437,Powersport Accessories,Accessories;Body
438,Pest Control,"Household, Shop and Office Products"
441,"Personal Care, Health and Wellness","Household, Shop and Office Products"
