ebay_id,ebay_name,ebay_path
33630,Exhaust System Kits,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Exhaust System Kits
33632,Manifolds & Headers,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Manifolds & Headers
33633,Exhaust Pipes & Tips,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Exhaust Pipes & Tips
33634,"Clamps, Flanges, Hangers & Hardware","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Clamps, Flanges, Hangers & Hardware"
33636,Mufflers & Resonators,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Mufflers & Resonators
33638,Spoilers & Wings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Spoilers & Wings
33639,Antennas,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Antennas
33640,Bumpers & Reinforcements,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Bumpers & Components|Bumpers & Reinforcements
33643,Emblems & Ornaments,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Emblems & Ornaments
33644,Fenders,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Panels|Fenders
33645,Grilles,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Grilles
33646,Hood Panels,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Hoods|Hood Panels
33647,Liftgates,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Doors, Trunk Lids & Hatches|Liftgates"
33648,Exterior Locks & Lock Hardware,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Exterior Locks & Lock Hardware
